Column1.fecha;Column1.indicativo;Column1.nombre;Column1.provincia;Column1.altitud;Column1.tmed;Column1.prec;Column1.tmin;Column1.horatmin;Column1.tmax;Column1.horatmax;Column1.dir;Column1.velmedia;Column1.racha;Column1.horaracha;Column1.sol;Column1.presMax;Column1.horaPresMax;Column1.presMin;Column1.horaPresMin
2020-09-01;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,4;0,0;13,2;23:56;21,7;12:47;08;3,1;8,3;12:58;8,7;1004,0;Varias;1000,5;04
2020-09-02;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,2;0,0;12,7;Varias;21,7;14:10;07;2,8;9,2;15:51;11,6;1005,5;Varias;1003,2;03
2020-09-03;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;19,9;0,0;14,7;00:46;25,1;15:33;99;3,1;6,7;Varias;12,5;1007,0;Varias;1004,3;05
2020-09-04;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;20,0;0,0;15,2;04:43;24,7;13:20;28;2,8;7,8;20:33;11,1;1008,4;Varias;1004,7;14
2020-09-05;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,8;0,7;16,0;23:56;19,6;Varias;08;3,9;11,4;14:14;0,0;1010,5;Varias;1008,4;00
2020-09-06;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,4;0,0;15,5;01:40;19,3;16:53;99;3,9;8,3;Varias;1,6;1009,9;00;1008,1;16
2020-09-07;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,0;0,0;12,8;05:32;21,1;12:32;10;4,7;11,7;17:52;9,4;1010,8;Varias;1008,3;04
2020-09-08;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,0;0,0;11,4;05:54;22,6;14:03;08;5,8;15,3;13:01;12,3;1010,1;00;1006,9;16
2020-09-09;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;17,8;0,0;13,3;02:40;22,3;13:37;08;2,5;7,8;14:53;12,0;1008,9;Varias;1006,9;02
2020-09-10;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;18,6;0,0;14,7;00:12;22,4;13:36;99;3,3;7,8;Varias;12,0;1008,2;00;1003,7;24
2020-09-11;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;19,4;0,0;15,8;05:09;23,1;12:25;09;3,6;9,2;14:59;8,4;1003,7;00;1001,0;17
2020-09-12;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;20,9;0,0;17,8;22:01;24,0;11:57;08;4,4;10,3;13:55;6,1;1005,8;Varias;1002,7;03
2020-09-13;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;23,7;0,0;17,0;05:58;30,4;14:42;99;3,3;7,2;Varias;9,8;1005,2;00;1001,0;17
2020-09-14;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;21,1;1,9;18,1;06:11;24,1;09:02;99;0,8;5,8;Varias;3,3;1005,3;Varias;1000,7;04
2020-09-15;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;19,3;0,0;16,8;23:11;21,8;13:42;99;2,2;5,8;03:19;9,2;1005,1;Varias;1003,5;02
2020-09-16;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;20,2;0,2;16,7;06:11;23,6;11:40;99;3,6;7,2;Varias;6,5;1004,7;01;1001,4;24
2020-09-17;1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;21,5;13,0;16,8;23:36;26,2;14:58;29;3,3;16,4;21:40;2,4;1001,6;01;993,0;19
